Synthese_eval_sanit;APP_Libelle_activite_etablissement;Code_postal;Libelle_commune;PTOT
2;32;97823;3609;155
2;32;97823;3609;34438
1;87;97823;3609;155
1;87;97823;3609;34438
2;133;97823;3609;155
2;133;97823;3609;34438
2;126;97420;3609;155
2;126;97420;3609;34438
1;96;97420;3609;155
1;96;97420;3609;34438
1;133;97420;3609;155
1;133;97420;3609;34438
2;125;97420;3609;155
2;125;97420;3609;34438
2;125;97420;3609;155
2;125;97420;3609;34438
2;26;97420;3609;155
2;26;97420;3609;34438
4;90;97420;3609;155
4;90;97420;3609;34438
2;116;97420;3609;155
2;116;97420;3609;34438
1;133;97420;3609;155
1;133;97420;3609;34438
1;133;97420;3609;155
1;133;97420;3609;34438
2;91;97420;3609;155
2;91;97420;3609;34438
2;126;97420;3609;155
2;126;97420;3609;34438
2;94;9320;3609;155
2;94;9320;3609;34438
2;87;97500;6442;98
2;87;97500;6442;136
2;87;97500;6442;247
2;87;97500;6442;362
2;87;97500;6442;309
2;87;97500;6442;657
2;87;97500;6442;4178
2;87;97500;6442;85083
2;132;97500;6442;98
2;132;97500;6442;136
2;132;97500;6442;247
2;132;97500;6442;362
2;132;97500;6442;309
2;132;97500;6442;657
2;132;97500;6442;4178
2;132;97500;6442;85083
2;125;97500;6442;98
2;125;97500;6442;136
2;125;97500;6442;247
2;125;97500;6442;362
2;125;97500;6442;309
2;125;97500;6442;657
2;125;97500;6442;4178
2;125;97500;6442;85083
2;126;97500;6442;98
2;126;97500;6442;136
2;126;97500;6442;247
2;126;97500;6442;362
2;126;97500;6442;309
2;126;97500;6442;657
2;126;97500;6442;4178
2;126;97500;6442;85083
2;125;97500;6442;98
2;125;97500;6442;136
2;125;97500;6442;247
2;125;97500;6442;362
2;125;97500;6442;309
2;125;97500;6442;657
2;125;97500;6442;4178
2;125;97500;6442;85083
2;32;97458;6442;98
2;32;97458;6442;136
2;32;97458;6442;247
2;32;97458;6442;362
2;32;97458;6442;309
2;32;97458;6442;657
2;32;97458;6442;4178
2;32;97458;6442;85083
2;87;97458;6442;98
2;87;97458;6442;136
2;87;97458;6442;247
2;87;97458;6442;362
2;87;97458;6442;309
2;87;97458;6442;657
2;87;97458;6442;4178
2;87;97458;6442;85083
2;6;97432;6442;98
2;6;97432;6442;136
2;6;97432;6442;247
2;6;97432;6442;362
2;6;97432;6442;309
2;6;97432;6442;657
2;6;97432;6442;4178
2;6;97432;6442;85083
2;126;97432;6442;98
2;126;97432;6442;136
2;126;97432;6442;247
2;126;97432;6442;362
2;126;97432;6442;309
2;126;97432;6442;657
2;126;97432;6442;4178
2;126;97432;6442;85083
3;126;97432;6442;98
3;126;97432;6442;136
3;126;97432;6442;247
3;126;97432;6442;362
3;126;97432;6442;309
3;126;97432;6442;657
3;126;97432;6442;4178
3;126;97432;6442;85083
3;126;97432;6442;98
3;126;97432;6442;136
3;126;97432;6442;247
3;126;97432;6442;362
3;126;97432;6442;309
3;126;97432;6442;657
3;126;97432;6442;4178
3;126;97432;6442;85083
2;126;97432;6442;98
2;126;97432;6442;136
2;126;97432;6442;247
2;126;97432;6442;362
2;126;97432;6442;309
2;126;97432;6442;657
2;126;97432;6442;4178
2;126;97432;6442;85083
1;10;97432;6442;98
1;10;97432;6442;136
1;10;97432;6442;247
1;10;97432;6442;362
1;10;97432;6442;309
1;10;97432;6442;657
1;10;97432;6442;4178
1;10;97432;6442;85083
1;17;97410;6442;98
1;17;97410;6442;136
1;17;97410;6442;247
1;17;97410;6442;362
1;17;97410;6442;309
1;17;97410;6442;657
1;17;97410;6442;4178
1;17;97410;6442;85083
2;125;97410;6442;98
2;125;97410;6442;136
2;125;97410;6442;247
2;125;97410;6442;362
2;125;97410;6442;309
2;125;97410;6442;657
2;125;97410;6442;4178
2;125;97410;6442;85083
1;133;97410;6442;98
1;133;97410;6442;136
1;133;97410;6442;247
1;133;97410;6442;362
1;133;97410;6442;309
1;133;97410;6442;657
1;133;97410;6442;4178
1;133;97410;6442;85083
2;126;97410;6442;98
2;126;97410;6442;136
2;126;97410;6442;247
2;126;97410;6442;362
2;126;97410;6442;309
2;126;97410;6442;657
2;126;97410;6442;4178
2;126;97410;6442;85083
2;125;97410;6442;98
2;125;97410;6442;136
2;125;97410;6442;247
2;125;97410;6442;362
2;125;97410;6442;309
2;125;97410;6442;657
2;125;97410;6442;4178
2;125;97410;6442;85083
2;131;97410;6442;98
2;131;97410;6442;136
2;131;97410;6442;247
2;131;97410;6442;362
2;131;97410;6442;309
2;131;97410;6442;657
2;131;97410;6442;4178
2;131;97410;6442;85083
3;125;97410;6442;98
3;125;97410;6442;136
3;125;97410;6442;247
3;125;97410;6442;362
3;125;97410;6442;309
3;125;97410;6442;657
3;125;97410;6442;4178
3;125;97410;6442;85083
2;131;97410;6442;98
2;131;97410;6442;136
2;131;97410;6442;247
2;131;97410;6442;362
2;131;97410;6442;309
2;131;97410;6442;657
2;131;97410;6442;4178
2;131;97410;6442;85083
2;132;97410;6442;98
2;132;97410;6442;136
2;132;97410;6442;247
2;132;97410;6442;362
2;132;97410;6442;309
2;132;97410;6442;657
2;132;97410;6442;4178
2;132;97410;6442;85083
2;10;97410;6442;98
2;10;97410;6442;136
2;10;97410;6442;247
2;10;97410;6442;362
2;10;97410;6442;309
2;10;97410;6442;657
2;10;97410;6442;4178
2;10;97410;6442;85083
3;125;97410;6442;98
3;125;97410;6442;136
3;125;97410;6442;247
3;125;97410;6442;362
3;125;97410;6442;309
3;125;97410;6442;657
3;125;97410;6442;4178
3;125;97410;6442;85083
2;32;97410;6442;98
2;32;97410;6442;136
2;32;97410;6442;247
2;32;97410;6442;362
2;32;97410;6442;309
2;32;97410;6442;657
2;32;97410;6442;4178
2;32;97410;6442;85083
1;32;97410;6442;98
1;32;97410;6442;136
1;32;97410;6442;247
1;32;97410;6442;362
1;32;97410;6442;309
1;32;97410;6442;657
1;32;97410;6442;4178
1;32;97410;6442;85083
1;132;97410;6442;98
1;132;97410;6442;136
1;132;97410;6442;247
1;132;97410;6442;362
1;132;97410;6442;309
1;132;97410;6442;657
1;132;97410;6442;4178
1;132;97410;6442;85083
2;135;97410;6442;98
2;135;97410;6442;136
2;135;97410;6442;247
2;135;97410;6442;362
2;135;97410;6442;309
2;135;97410;6442;657
2;135;97410;6442;4178
2;135;97410;6442;85083
2;126;97410;6442;98
2;126;97410;6442;136
2;126;97410;6442;247
2;126;97410;6442;362
2;126;97410;6442;309
2;126;97410;6442;657
2;126;97410;6442;4178
2;126;97410;6442;85083
2;88;97410;6442;98
2;88;97410;6442;136
2;88;97410;6442;247
2;88;97410;6442;362
2;88;97410;6442;309
2;88;97410;6442;657
2;88;97410;6442;4178
2;88;97410;6442;85083
2;125;97410;6442;98
2;125;97410;6442;136
2;125;97410;6442;247
2;125;97410;6442;362
2;125;97410;6442;309
2;125;97410;6442;657
2;125;97410;6442;4178
2;125;97410;6442;85083
3;125;97410;6442;98
3;125;97410;6442;136
3;125;97410;6442;247
3;125;97410;6442;362
3;125;97410;6442;309
3;125;97410;6442;657
3;125;97410;6442;4178
3;125;97410;6442;85083
3;10;97410;6442;98
3;10;97410;6442;136
3;10;97410;6442;247
3;10;97410;6442;362
3;10;97410;6442;309
3;10;97410;6442;657
3;10;97410;6442;4178
3;10;97410;6442;85083
2;17;97410;6442;98
2;17;97410;6442;136
2;17;97410;6442;247
2;17;97410;6442;362
2;17;97410;6442;309
2;17;97410;6442;657
2;17;97410;6442;4178
2;17;97410;6442;85083
2;17;97410;6442;98
2;17;97410;6442;136
2;17;97410;6442;247
2;17;97410;6442;362
2;17;97410;6442;309
2;17;97410;6442;657
2;17;97410;6442;4178
2;17;97410;6442;85083
2;94;39150;6442;98
2;94;39150;6442;136
2;94;39150;6442;247
2;94;39150;6442;362
2;94;39150;6442;309
2;94;39150;6442;657
2;94;39150;6442;4178
2;94;39150;6442;85083
3;126;97490;5944;524
3;126;97490;5944;303
3;126;97490;5944;111948
3;126;97490;5944;149313
2;126;97490;5944;524
2;126;97490;5944;303
2;126;97490;5944;111948
2;126;97490;5944;149313
2;126;97490;5944;524
2;126;97490;5944;303
2;126;97490;5944;111948
2;126;97490;5944;149313
2;126;97490;5944;524
2;126;97490;5944;303
2;126;97490;5944;111948
2;126;97490;5944;149313
2;126;97490;5944;524
2;126;97490;5944;303
2;126;97490;5944;111948
2;126;97490;5944;149313
2;114;97490;5944;524
2;114;97490;5944;303
2;114;97490;5944;111948
2;114;97490;5944;149313
2;82;97490;5944;524
2;82;97490;5944;303
2;82;97490;5944;111948
2;82;97490;5944;149313
2;126;97490;5944;524
2;126;97490;5944;303
2;126;97490;5944;111948
2;126;97490;5944;149313
2;10;97490;5944;524
2;10;97490;5944;303
2;10;97490;5944;111948
2;10;97490;5944;149313
2;126;97490;5944;524
2;126;97490;5944;303
2;126;97490;5944;111948
2;126;97490;5944;149313
2;126;97490;5944;524
2;126;97490;5944;303
2;126;97490;5944;111948
2;126;97490;5944;149313
2;125;97490;5944;524
2;125;97490;5944;303
2;125;97490;5944;111948
2;125;97490;5944;149313
2;126;97476;5944;524
2;126;97476;5944;303
2;126;97476;5944;111948
2;126;97476;5944;149313
2;125;97400;5944;524
2;125;97400;5944;303
2;125;97400;5944;111948
2;125;97400;5944;149313
2;126;97400;5944;524
2;126;97400;5944;303
2;126;97400;5944;111948
2;126;97400;5944;149313
2;132;97400;5944;524
2;132;97400;5944;303
2;132;97400;5944;111948
2;132;97400;5944;149313
2;10;97400;5944;524
2;10;97400;5944;303
2;10;97400;5944;111948
2;10;97400;5944;149313
2;126;97400;5944;524
2;126;97400;5944;303
2;126;97400;5944;111948
2;126;97400;5944;149313
2;126;97400;5944;524
2;126;97400;5944;303
2;126;97400;5944;111948
2;126;97400;5944;149313
2;126;97400;5944;524
2;126;97400;5944;303
2;126;97400;5944;111948
2;126;97400;5944;149313
2;125;97400;5944;524
2;125;97400;5944;303
2;125;97400;5944;111948
2;125;97400;5944;149313
2;126;97400;5944;524
2;126;97400;5944;303
2;126;97400;5944;111948
2;126;97400;5944;149313
2;126;97400;5944;524
2;126;97400;5944;303
2;126;97400;5944;111948
2;126;97400;5944;149313
2;125;97400;5944;524
2;125;97400;5944;303
2;125;97400;5944;111948
2;125;97400;5944;149313
2;27;97400;5944;524
2;27;97400;5944;303
2;27;97400;5944;111948
2;27;97400;5944;149313
1;133;93210;5944;524
1;133;93210;5944;303
1;133;93210;5944;111948
1;133;93210;5944;149313
1;38;93210;5944;524
1;38;93210;5944;303
1;38;93210;5944;111948
1;38;93210;5944;149313
1;32;93210;5944;524
1;32;93210;5944;303
1;32;93210;5944;111948
1;32;93210;5944;149313
1;33;93210;5944;524
1;33;93210;5944;303
1;33;93210;5944;111948
1;33;93210;5944;149313
2;125;93210;5944;524
2;125;93210;5944;303
2;125;93210;5944;111948
2;125;93210;5944;149313
1;135;93210;5944;524
1;135;93210;5944;303
1;135;93210;5944;111948
1;135;93210;5944;149313
2;10;93210;5944;524
2;10;93210;5944;303
2;10;93210;5944;111948
2;10;93210;5944;149313
1;125;93210;5944;524
1;125;93210;5944;303
1;125;93210;5944;111948
1;125;93210;5944;149313
2;125;93210;5944;524
2;125;93210;5944;303
2;125;93210;5944;111948
2;125;93210;5944;149313
2;11;93210;5944;524
2;11;93210;5944;303
2;11;93210;5944;111948
2;11;93210;5944;149313
2;125;93210;5944;524
2;125;93210;5944;303
2;125;93210;5944;111948
2;125;93210;5944;149313
2;125;93210;5944;524
2;125;93210;5944;303
2;125;93210;5944;111948
2;125;93210;5944;149313
1;125;93210;5944;524
1;125;93210;5944;303
1;125;93210;5944;111948
1;125;93210;5944;149313
1;100;93210;5944;524
1;100;93210;5944;303
1;100;93210;5944;111948
1;100;93210;5944;149313
2;125;93210;5944;524
2;125;93210;5944;303
2;125;93210;5944;111948
2;125;93210;5944;149313
2;125;93210;5944;524
2;125;93210;5944;303
2;125;93210;5944;111948
2;125;93210;5944;149313
1;125;93210;5944;524
1;125;93210;5944;303
1;125;93210;5944;111948
1;125;93210;5944;149313
2;125;93210;5944;524
2;125;93210;5944;303
2;125;93210;5944;111948
2;125;93210;5944;149313
1;132;93210;5944;524
1;132;93210;5944;303
1;132;93210;5944;111948
1;132;93210;5944;149313
1;125;93210;5944;524
1;125;93210;5944;303
1;125;93210;5944;111948
1;125;93210;5944;149313
2;126;93210;5944;524
2;126;93210;5944;303
2;126;93210;5944;111948
2;126;93210;5944;149313
1;125;93210;5944;524
1;125;93210;5944;303
1;125;93210;5944;111948
1;125;93210;5944;149313
2;125;93210;5944;524
2;125;93210;5944;303
2;125;93210;5944;111948
2;125;93210;5944;149313
2;125;93210;5944;524
2;125;93210;5944;303
2;125;93210;5944;111948
2;125;93210;5944;149313
2;125;93210;5944;524
2;125;93210;5944;303
2;125;93210;5944;111948
2;125;93210;5944;149313
2;125;93210;5944;524
2;125;93210;5944;303
2;125;93210;5944;111948
2;125;93210;5944;149313
2;67;93210;5944;524
2;67;93210;5944;303
